ID,SEQUENCE,POS
200,"Albeit limited , these results provide valuable insight into SI interpretation by Chitonga - speaking children and demonstrate that pragmatic inference acquisition likely follows the order identified in previous research , but appears to be completed at a later age in this language .","IN VBN , DT NNS VBP JJ NN IN NN NN IN NNP HYPH VBG NNS CC VBP IN JJ NN NN RB VBZ DT NN VBN IN JJ NN , CC VBZ TO VB VBN IN DT JJR NN IN DT NN ."
201,Method 2 : Basic Chocolate Vegan Cupcakes :,NN CD : JJ NN JJ NNS :
202,"And then around day four , everything started to like stabilize .","CC RB IN NN CD , NN VBD TO UH VB ."
203,The city is 430 km south of Tehran at the foothills of the Zagros mountain range .,DT NN VBZ CD NNS RB IN NNP IN DT NNS IN DT NNP NN NN .
204,Hm ?,UH .
205,She could _,PRP MD :
206,Final days,JJ NNS
207,You may want to start your own joke file .,PRP MD VB TO VB PRP$ JJ NN NN .
208,Those are the bathrooms .,DT VBP DT NNS .
209,Hi everyone !,UH NN .
210,YouTube,NNP
211,"I then started to talk to people about it , that made me feel better .","PRP RB VBD TO VB IN NNS IN PRP , DT VBD PRP VB JJR ."
212,"Basically , disruptive technologies occur through identifying new and valuable processes and products .","RB , JJ NNS VBP IN VBG JJ CC JJ NNS CC NNS ."
213,Is it for real now ?,VBZ PRP IN JJ RB .
214,"Yeah , they are big right now .","UH , PRP VBP JJ RB RB ."
215,I need to film another YouTube video .,PRP VBP TO VB DT NNP NN .
216,"It is one , single message that is collaboratively curated by everybody .","PRP VBZ CD , JJ NN WDT VBZ RB VBN IN NN ."
217,Quartiles divide ordered data into quarters .,NNS VBP VBN NNS IN NNS .
218,"Let me swatch it for you real quick , real quick .","VB PRP VB PRP IN PRP RB RB , RB RB ."
219,The last two are considered her best work .,DT JJ CD VBP VBN PRP$ JJS NN .
220,Replication in Second Language Research :,NN IN JJ NN NN :
221,"Their daughter , Odette Elliott Padalecki , was born on March 17 , 2017 . [ 17 ] [ 18 ]","PRP$ NN , NNP NNP NNP , VBD VBN IN NNP CD , CD . -LRB- CD -RRB- -LRB- CD -RRB-"
222,"Imagine all of your thoughts as if they were physical entities , swirling rapidly inside your mind .","VB DT IN PRP$ NNS IN IN PRP VBD JJ NNS , VBG RB IN PRP$ NN ."
223,Very good counting there .,RB JJ NN RB .
224,Schwa .,NNP .
225,We are living in a world of disquiet .,PRP VBP VBG IN DT NN IN NN .
226,I know .,PRP VBP .
227,She was huge !,PRP VBD JJ .
228,Hi !,UH .
229,Just wanted to show you .,RB VBD TO VB PRP .
230,"Baby slobber , ew .","NN NN , UH ."
231,"Since our motorist is traveling only in the east - west direction and the terrain is flat , we can ignore the other two dimensions of space .","IN PRP$ NN VBZ VBG RB IN DT NN HYPH NN NN CC DT NN VBZ JJ , PRP MD VB DT JJ CD NNS IN NN ."
232,With all of my products are normally like a pretty natural smell .,IN DT IN PRP$ NNS VBP RB UH DT RB JJ NN .
233,"( Note that we do not consider case studies , purely observational data , or research on L2s acquired by children ; for a comprehensive review , see [ 16 ] ) .","-LRB- VB IN PRP VBP RB VB NN NNS , RB JJ NNS , CC NN IN NNS VBN IN NNS : IN DT JJ NN , VB -LRB- CD -RRB- -RRB- ."
234,Doing this too often can quickly turn an otherwise flirtatious conversation into one in which you appear needy and self - loathing .,VBG DT RB RB MD RB VB DT RB JJ NN IN CD IN WDT PRP VBP JJ CC NN HYPH NN .
235,Discussion,NN
236,I really do believe that .,PRP RB VBP VB DT .
237,"The intervention consisted in the use of the Escola do Cérebro , using tablets in the classroom , daily for a period of five weeks .","DT NN VBD IN DT NN IN DT NNP NNP NNP , VBG NNS IN DT NN , RB IN DT NN IN CD NNS ."
238,Aner Shalev,NNP NNP
239,No good .,DT JJ .
240,"_ No , _ I said .","`` UH , '' PRP VBD ."
241,"In my opinion , people should be hesitant to contribute to websites where you only have the "" right to leave . ""","IN PRP$ NN , NNS MD VB JJ TO VB IN NNS WRB PRP RB VBP DT `` NN TO VB . ''"
242,"From A to B he drove at a uniform speed ; unfortunately , it was too fast a uniform speed and a police car spotted him .","IN NNP IN NNP PRP VBD IN DT JJ NN : RB , PRP VBD RB JJ DT JJ NN CC DT NN NN VBD PRP ."
243,"In the time it takes me to explain she grasps and loses the words , grasps and loses phrases as they go past .","IN DT NN PRP VBZ PRP TO VB PRP VBZ CC VBZ DT NNS , VBZ CC VBZ NNS IN PRP VBP JJ ."
244,Oh .,UH .
245,For the slow scenic route from Northeast or Southwest come in on old Route 66 .,IN DT JJ JJ NN IN NNP CC NNP VB RP IN JJ NNP CD .
246,Both .,DT .
247,"In 1758 , his brother Pierre Joseph died at the age of six , and Pierre Charles became the eldest son .","IN CD , PRP$ NN NNP NNP VBD IN DT NN IN CD , CC NNP NNP VBD DT JJS NN ."
248,Amazing for hair moisture .,JJ IN NN NN .
249,Police arrested and questioned the student .,NNS VBD CC VBD DT NN .
250,"In the first game of the day , Sweden faced South Korea at the Nizhny Novgorod Stadium .","IN DT JJ NN IN DT NN , NNP VBD NNP NNP IN DT NNP NNP NNP ."
251,( credit : modification of work by _ slgckgc _ / Flickr ),-LRB- NN : NN IN NN IN `` NNP '' SYM NNP -RRB-
252,"A spattering of drops plucked memories from deep in the roots , shivering through shoots and tendrils , humus and stone .","DT NN IN NNS VBD NNS IN JJ IN DT NNS , VBG IN NNS CC NNS , NN CC NN ."
253,"More than 2,000 people , actually , installed these in their balconies , in their schools and so on , to get a real - time sensor of their IoT devices but not just IoT .","RBR IN CD NNS , RB , VBD DT IN PRP$ NNS , IN PRP$ NNS CC RB RB , TO VB DT JJ HYPH NN NN IN PRP$ NNP NNS CC RB RB NNP ."
254,Marbles appeared as herself in Smosh : The Movie . [ 18 ],NNP VBD IN PRP IN NNP : DT NN . -LRB- CD -RRB-
255,"Prideful people have a strong need to look good , and being self - sufficient is an effective way to do that .","JJ NNS VBP DT JJ NN TO VB JJ , CC VBG NN HYPH JJ VBZ DT JJ NN TO VB DT ."
256,"Okay , and uh , just tell me about how you arrived at uh this claim .","UH , CC UH , RB VB PRP IN WRB PRP VBD IN UH DT NN ."
257,"This happens when you question ( or at least seem to question ) their appearance , intelligence , athletic abilities , or anything else relating to their self - image .","DT VBZ WRB PRP VBP -LRB- CC IN JJS VBP TO VB -RRB- PRP$ NN , NN , JJ NNS , CC NN RB VBG IN PRP$ NN HYPH NN ."
258,"The inside of the church smelled like damp wood and furniture polish , not alive at all .","DT NN IN DT NN VBD IN JJ NN CC NN NN , RB JJ IN DT ."
259,"If you find yourself being pulled off into the depths of daydreams , set a period of time to do nothing but work .","IN PRP VBP PRP VBG VBN RP IN DT NNS IN NNS , VB DT NN IN NN TO VB NN IN VB ."
260,Her accomplishments were the subject of the film Calling the Shots ( 1988 ) by Janis Cole and Holly Dale . [ citation needed ],PRP$ NNS VBD DT NN IN DT NN NNP DT NNP -LRB- CD -RRB- IN NNP NNP CC NNP NNP . -LRB- NN VBN -RRB-
261,Nothing was ever at 90 degrees .,NN VBD RB IN CD NNS .
262,What Higuchi added was a special awareness of suffering and sensitivity .,WP NNP VBD VBD DT JJ NN IN NN CC NN .
263,"They have other functions , and these functions may come into conflict , creating pressures to inflate credentials .","PRP VBP JJ NNS , CC DT NNS MD VB IN NN , VBG NNS TO VB NNS ."
264,"Long years ago we made a tryst with destiny , and now the time comes when we shall redeem our pledge , not wholly or in full measure , but very substantially .","JJ NNS RB PRP VBD DT NN IN NN , CC RB DT NN VBZ WRB PRP MD VB PRP$ NN , RB RB CC IN JJ NN , CC RB RB ."
265,You can skip this step if you have purchased pre-rinsed quinoa in a box .,PRP MD VB DT NN IN PRP VBP VBN JJ NN IN DT NN .
266,"$ 33,000 ; $ 64,500 ; $ 28,000 ; $ 54,000 ; $ 72,000 ; $ 68,500 ; $ 69,000 ; $ 42,000 ; $ 54,000 ; $ 120,000 ; $ 40,500",$ CD : $ CD : $ CD : $ CD : $ CD : $ CD : $ CD : $ CD : $ CD : $ CD : $ CD
267,So that was really exciting and fun .,RB DT VBD RB JJ CC JJ .
268,"When , a couple of weeks later we were invited over to his house we saw that this was not an idle remark .","WRB , DT NN IN NNS RBR PRP VBD VBN RP IN PRP$ NN PRP VBD IN DT VBD RB DT JJ NN ."
269,It is my special pleasure to address the fifty - ninth session of the General Assembly of the United Nations .,PRP VBZ PRP$ JJ NN TO VB DT JJ HYPH NN NN IN DT NNP NNP IN DT NNP NNPS .
270,"Revolutionary re-enactments , and breathtaking views of the GW Bridge , the Little Red Light House , Hudson River and majestic city skyline .","JJ NNS , CC JJ NNS IN DT NNP NNP , DT NNP NNP NNP NNP , NNP NNP CC JJ NN NN ."
271,"And then you get two , and you multiply the top by the square root of two , and you get , square root of two .","CC RB PRP VBP CD , CC PRP VBP DT NN IN DT JJ NN IN CD , CC PRP VBP , JJ NN IN CD ."
272,This personality trait was defined as _ grit _ by the psychologist Angela Duckworth . 1,DT NN NN VBD VBN IN `` NN '' IN DT NN NNP NNP . CD
273,"Old and new meet in Fort Lee , as the Good Shepherd Episcopalian Church is dwarfed by a residential highrise immediately behind it","JJ CC JJ VBP IN NNP NNP , IN DT NNP NNP NNP NNP VBZ VBN IN DT JJ NN RB IN PRP"
274,He died .,PRP VBD .
275,"Unlike a book or your roommate , stars produce measurable distortions in spacetime .","IN DT NN CC PRP$ NN , NNS VBP JJ NNS IN NN ."
276,Alternative : Lack of companions,NN : NN IN NNS
277,Try not to make your words sound like utter and complete gibberish just add a little extra than our regular English language .,VB RB TO VB PRP$ NNS VBP IN JJ CC JJ NN RB VB DT JJ JJ IN PRP$ JJ JJ NN .
278,"There Jerome learned Latin and at least some Greek , [ 11 ] though probably not the familiarity with Greek literature he would later claim to have acquired as a schoolboy . [ 12 ]","RB NNP VBD NNP CC IN JJS DT NNP , -LRB- CD -RRB- RB RB RB DT NN IN JJ NN PRP MD RBR VB TO VB VBN IN DT NN . -LRB- CD -RRB-"
279,Completely verbal .,RB JJ .
280,"If the task we are trying to complete is a difficult one , it can take a lot of work .","IN DT NN PRP VBP VBG TO VB VBZ DT JJ NN , PRP MD VB DT NN IN NN ."
281,We should have a carwash there .,PRP MD VB DT NN RB .
282,"At the time of his promotion , he had hit a .322 average in 102 games with Altoona and .432 in 24 games for Indianapolis . [ 10 ]","IN DT NN IN PRP$ NN , PRP VBD VBN DT CD NN IN CD NNS IN NNP CC CD IN CD NNS IN NNP . -LRB- CD -RRB-"
283,You want to film _ you want to film the outro ?,PRP VBP TO VB : PRP VBP TO VB DT NN .
284,"For this reason , universities and colleges use percentiles extensively .","IN DT NN , NNS CC NNS VBP NNS RB ."
285,"Died 31 July 2017 ( aged 89 ) Paris , France","VBD CD NNP CD -LRB- JJ CD -RRB- NNP , NNP"
286,Cities,NNS
287,See the collaboration page for more details .,VB DT NN NN IN JJR NNS .
288,"Carroll met Rachel in the Jellicoh College library , where he had a part - time job .","NNP VBD NNP IN DT NNP NNP NN , WRB PRP VBD DT NN HYPH NN NN ."
289,"What you had for b- _ But no , huit .","WP PRP VBD IN UH : CC UH , FW ."
290,"And it was funny , like , we could _","CC PRP VBD JJ , UH , PRP MD :"
291,Surprise with the punchline .,VB IN DT NN .
292,Oh good .,UH JJ .
293,"Although attrition may take place within the first few years , some studies suggest that it then appears to level off , with no further losses occurring [ 17 ] , [ 18 ] .","IN NN MD VB NN IN DT JJ JJ NNS , DT NNS VBP IN PRP RB VBZ TO VB RP , IN DT JJR NNS VBG -LRB- CD -RRB- , -LRB- CD -RRB- ."
294,"Like my face and my hair , my features , the amount of body hair I have in random places because of like my hormones , my weight especially .","UH PRP$ NN CC PRP$ NN , PRP$ NNS , DT NN IN NN NN PRP VBP IN JJ NNS IN IN UH PRP$ NNS , PRP$ NN RB ."
295,She was five or something ?,PRP VBD CD CC NN .
296,"See , it was just slow .","VB , PRP VBD RB JJ ."
297,The error is introduced by directly modifying the coordinate system of geometry when recovering the wrapping of the figure .,DT NN VBZ VBN IN RB VBG DT NN NN IN NN WRB VBG DT NN IN DT NN .
298,"_ I want you to stay at home , then , _ she says .","`` PRP VBP PRP TO VB IN NN , RB , '' PRP VBZ ."
299,His hands were finding their way through the armholes of his robe .,PRP$ NNS VBD VBG PRP$ NN IN DT NNS IN PRP$ NN .
300,"In 1830 , it forbade future U.S. immigration and increased its military presence in Texas .","IN CD , PRP VBD JJ NNP NN CC VBD PRP$ JJ NN IN NNP ."
301,"In the state of the art , we have found mutation operators , both general purpose and specific to different technologies , languages and paradigms [ 2 _ 9 ] .","IN DT NN IN DT NN , PRP VBP VBN NN NNS , CC JJ NN CC JJ IN JJ NNS , NNS CC NNS -LRB- CD SYM CD -RRB- ."
302,The Albanian Government is pleased to note that an ever - healthier climate of confidence and relations of bilateral and multilateral cooperation are prevailing in the South - Eastern European region .,DT JJ NN VBZ JJ TO VB IN DT RB HYPH JJ NN IN NN CC NNS IN JJ CC JJ NN VBP VBG IN DT NNP HYPH JJ JJ NN .
303,"In 1943 , Nida received his Ph.D. in Linguistics from the University of Michigan .","IN CD , NNP VBD PRP$ NNP IN NNP IN DT NNP IN NNP ."
304,In the 62nd minute Kim Min-Woo conceded a penalty which the match referee Joel Aguilar awarded Sweden after confirming with the video assistant referee .,IN DT JJ NN NNP NNP VBD DT NN WDT DT NN NN NNP NNP VBD NNP IN VBG IN DT NN NN NN .
305,"For most people , receiving compliments is only fun up to a point _ getting more than one or two can make someone feel embarrassed and self - conscious .","IN JJS NNS , VBG NNS VBZ RB JJ IN IN DT NN : VBG RBR IN CD CC CD MD VB NN VB JJ CC NN HYPH JJ ."
306,Image : David Titley .,NN : NNP NNP .
307,There we go !,EX PRP VBP .
308,"So , to our President , Joe Biden , thank you for your leadership around all of these issues .","RB , IN PRP$ NNP , NNP NNP , VBP PRP IN PRP$ NN IN DT IN DT NNS ."
309,"Despite how much humans have in common , cultural differences are far more prevalent than cultural universals .","IN WRB JJ NNS VBP IN NN , JJ NNS VBP RB RBR JJ IN JJ NNS ."
310,"The wealthy constructed the grand Pasejo Montejo avenue north of the old town , inspired by the Champs - _lysées in Paris .","DT JJ VBD DT JJ NNP NNP NN RB IN DT JJ NN , VBN IN DT NNP HYPH NNP IN NNP ."
311,"Fully half of all international relief aid is channelled through the United Nations , ensuring that millions receive protection , food , medicine , shelter , water and other life - saving forms of assistance .","RB NN IN DT JJ NN NN VBZ VBN IN DT NNP NNPS , VBG IN NNS VBP NN , NN , NN , NN , NN CC JJ NN HYPH VBG NNS IN NN ."
312,"This work aimed at developing a complete theory of grammar that would fully acknowledge the role of semantics right from the start , while simultaneously adopting constraint - based formalisms as popular in computer science and natural language processing .","DT NN VBD IN VBG DT JJ NN IN NN WDT MD RB VB DT NN IN NN RB IN DT NN , IN RB VBG NN HYPH VBN NNS IN JJ IN NN NN CC JJ NN NN ."
313,"After tasting the beverage , Patterson observed , "" My Santorum was sweet but balanced , with a subtle citrus pucker "" .","IN VBG DT NN , NNP VBD , `` PRP$ NNP VBD JJ CC VBN , IN DT JJ JJ NN '' ."
314,"40. _ Beauty is no quality in things themselves : it exists merely in the mind which contemplates them ; and each mind perceives a different beauty _ every individual ought to acquiesce in his own sentiment , without pretending to regulate those of others .","LS `` NN VBZ DT NN IN NNS PRP : PRP VBZ RB IN DT NN WDT VBZ PRP : CC DT NN VBZ DT JJ NN : DT NN MD TO VB IN PRP$ JJ NN , IN VBG TO VB DT IN NNS ."
315,Set adjacent to Henga Lodge is the magnificent Henga Scenic Reserve .,VBN JJ IN NNP NNP VBZ DT JJ NNP NNP NNP .
316,His parents had never had him optimized .,PRP$ NNS VBD RB VBN PRP VBN .
317,"Besides the atmospheric effects , the increasing of sea surface emissivity due to the sea surface roughness and foam effects is the main source of error , which could significantly hamper the accuracy of SSS retrieval [ 11 ] .","IN DT JJ NNS , DT NN IN NN NN NN JJ IN DT NN NN NN CC NN NNS VBZ DT JJ NN IN NN , WDT MD RB VB DT NN IN NN NN -LRB- CD -RRB- ."
318,Six months !,CD NNS .
319,It does ?,PRP VBZ .
320,"As a shortcut , and for a bit of interesting background , add connotation to various letters , preferably vowels .","IN DT NN , CC IN DT NN IN JJ NN , VB NN IN JJ NNS , RB NNS ."
321,No question would reveal anything independently of all the questions together --,DT NN MD VB NN RB IN PDT DT NNS RB :
322,"The death of Petronios later that year would leave Apa Horsiesios in charge , and the popular Theodorus would retreat to the distant monastery of Phnoum .","DT NN IN NNP RBR DT NN MD VB NNP NNP IN NN , CC DT JJ NNP MD VB IN DT JJ NN IN NNP ."
