,SEQUENCE,POS,NLTK,CORENLP,SPACY,FLAIR,OPENNLP,STANZA
51,The flavor of icing or frosting can be improved by adding a little of your favorite juice to it instead of soy milk or water .,DT NN IN NN CC NN MD VB VBN IN VBG DT JJ IN PRP$ JJ NN IN PRP IN IN NN NN CC NN .,DT NN IN VBG CC VBG MD VB VBN IN VBG DT JJ IN PRP$ JJ NN TO PRP RB IN JJ NN CC NN .,DT NN IN NN CC NN MD VB VBN IN VBG DT JJ IN PRP$ JJ NN IN PRP RB IN NN NN CC NN .,DT NN IN VBG CC NN MD VB VBN IN VBG DT JJ IN PRP$ JJ NN IN PRP RB IN NN NN CC NN .,DT NN IN NN CC NN MD VB VBN IN VBG DT JJ IN PRP$ JJ NN IN PRP RB IN NN NN CC NN .,DT NN IN NN CC NN MD VB VBN IN VBG DT JJ IN PRP$ JJ NN TO PRP RB IN NN NN CC NN .,DT NN IN NN CC NN MD VB VBN IN VBG DT JJ IN PRP$ JJ NN IN PRP RB IN NN NN CC NN .
52,Because you brought this over here .,IN PRP VBD DT IN RB .,IN PRP VBD DT IN RB .,IN PRP VBD DT IN RB .,IN PRP VBD DT RP RB .,IN PRP VBD DT RP RB .,IN PRP VBD DT IN RB .,IN PRP VBD DT RP RB .
53,Great question .,JJ NN .,JJ NN .,JJ NN .,JJ NN .,JJ NN .,JJ NN .,JJ NN .
54,Would you be a doll ? _,MD PRP VB DT NN . '',MD PRP VB DT NN . NN,MD PRP VB DT NN . '',MD PRP VB DT NN . '',MD PRP VB DT NN . NFP,MD PRP VB DT NN . .,MD PRP VB DT NN . ''
55,"Even the mainland school groups that fly there for school camps , and choose to stay at Kopinga Marae [ 1 ] get value for money by chartering a flight one way .","RB DT NN NN NNS WDT VBP RB IN NN NNS , CC VBP TO VB IN NNP NNP -LRB- CD -RRB- VBP NN IN NN IN VBG DT NN CD NN .","RB DT NN NN NNS WDT VBP RB IN NN NNS , CC VB TO VB IN NNP NNP VBD CD NNP VB NN IN NN IN VBG DT NN CD NN .","RB DT NN NN NNS WDT VBP RB IN NN NNS , CC VB TO VB IN NNP NNP -LRB- CD -RRB- VBP NN IN NN IN VBG DT NN CD NN .","RB DT NN NN NNS WDT VBP RB IN NN NNS , CC VB TO VB IN NNP NNP -LRB- LS -RRB- VB NN IN NN IN VBG DT NN CD NN .","RB DT NN NN NNS WDT VBP RB IN NN NNS , CC VBP TO VB IN NNP NNP -LRB- CD -RRB- VBP NN IN NN IN VBG DT NN CD NN .","RB DT JJ NN NNS WDT VBP RB IN NN NNS , CC VB TO VB IN NNP NNP VBD CD SYM VB NN IN NN IN VBG DT NN CD NN .","RB DT JJ NN NNS WDT VBP RB IN NN NNS , CC VBP TO VB IN NNP NNP -LRB- CD -RRB- VBP NN IN NN IN VBG DT NN CD NN ."
56,2.1 Early Ideas in Atomic Theory,LS JJ NNS IN JJ NN,CD JJ NNS IN NNP NNP,CD JJ NNPS IN NNP NNP,CD NNP NNPS IN NNP NN,CD JJ NNS IN NNP NNP,CD RB NNP IN NNP NNP,LS JJ NNS IN NNP NNP
57,Wow .,UH .,NNP .,UH .,UH .,UH .,UH .,UH .
58,"For many years after her death , however , Tyler was tortured by the memory of a certain visit from her .","IN JJ NNS IN PRP$ NN , RB , NNP VBD VBN IN DT NN IN DT JJ NN IN PRP .","IN JJ NNS IN PRP$ NN , RB , NNP VBD VBN IN DT NN IN DT JJ NN IN PRP$ .","IN JJ NNS IN PRP$ NN , RB , NNP VBD VBN IN DT NN IN DT JJ NN IN PRP .","IN JJ NNS IN PRP$ NN , RB , NNP VBD VBN IN DT NN IN DT JJ NN IN PRP .","IN JJ NNS IN PRP$ NN , RB , NNP VBD VBN IN DT NN IN DT JJ NN IN PRP .","IN JJ NNS IN PRP$ NN , RB , NNP VBD VBN IN DT NN IN DT JJ NN IN PRP .","IN JJ NNS IN PRP$ NN , RB , NNP VBD VBN IN DT NN IN DT JJ NN IN PRP ."
59,"Why did you decide to take the acoustic fate of public domain works into your own hands , and how did you go about it ?","WRB VBD PRP VB TO VB DT JJ NN IN JJ NN NNS IN PRP$ JJ NNS , CC WRB VBD PRP VB IN PRP .","WRB VBD PRP VB TO VB DT JJ NN IN JJ NN VBZ IN PRP$ JJ NNS , CC WRB VBD PRP VB IN PRP .","WRB VBD PRP VB TO VB DT JJ NN IN JJ NN VBZ IN PRP$ JJ NNS , CC WRB VBD PRP VB IN PRP .","WRB VBD PRP VB TO VB DT JJ NN IN JJ NN VBZ IN PRP$ JJ NNS , CC WRB VBD PRP VB IN PRP .","WRB VBD PRP VB TO VB DT JJ NN IN JJ NN NNS IN PRP$ JJ NNS , CC WRB VBD PRP VB IN PRP .","WRB VBD PRP VB TO VB DT JJ NN IN JJ NN VBZ IN PRP$ JJ NNS , CC WRB VBD PRP VB IN PRP .","WRB VBD PRP VB TO VB DT JJ NN IN JJ NN NNS IN PRP$ JJ NNS , CC WRB VBD PRP VB IN PRP ."
60,"One caveat , however , is that our approach uses tail reduction as the mechanism for CoM displacement despite it has been recently shown that the evolutionary change in CoM position was driven instead by forelimb enlargement [ 8 ] .","CD NN , RB , VBZ IN PRP$ NN VBZ NN NN IN DT NN IN NN NN IN PRP VBZ VBN RB VBN IN DT JJ NN IN NN NN VBD VBN RB IN NN NN -LRB- CD -RRB- .","CD NN , RB , VBZ IN PRP$ NN VBZ JJ NN IN DT NN IN NNP NN IN PRP VBZ VBN RB VBN IN DT JJ NN IN NNP NN VBD VBN RB IN JJ NN VBD CD NN .","CD NN , RB , VBZ IN PRP$ NN VBZ NN NN IN DT NN IN NN NN IN PRP VBZ VBN RB VBN IN DT JJ NN IN NN NN VBD VBN RB IN NN NN -LRB- CD -RRB- .","CD NN , RB , VBZ IN PRP$ NN VBZ NN NN IN DT NN IN NNP NN IN PRP VBZ VBN RB VBN IN DT JJ NN IN NNP NN VBD VBN RB IN NNP NN -LRB- CD -RRB- .","CD NN , RB , VBZ IN PRP$ NN VBZ NN NN IN DT NN IN NNP NN IN PRP VBZ VBN RB VBN IN DT JJ NN IN NNP NN VBD VBN RB IN JJ NN -LRB- CD -RRB- .","CD NN , RB , VBZ IN PRP$ NN VBZ NN NN IN DT NN IN NNP NN IN PRP VBZ VBN RB VBN IN DT JJ NN IN NNP NN VBD VBN RB IN JJ NN IN CD NN .","CD NN , RB , VBZ IN PRP$ NN VBZ NN NN IN DT NN IN NN NN IN PRP VBZ VBN RB VBN IN DT JJ NN IN NN NN VBD VBN RB IN NN NN -LRB- CD -RRB- ."
61,There was no holder and the end was jagged .,EX VBD DT NN CC DT NN VBD JJ .,EX VBD DT NN CC DT NN VBD VBN .,EX VBD DT NN CC DT NN VBD JJ .,EX VBD DT NN CC DT NN VBD JJ .,EX VBD DT NN CC DT NN VBD VBN .,EX VBD DT NN CC DT NN VBD JJ .,EX VBD DT NN CC DT NN VBD VBN .
62,You smoked it down into the cork .,PRP VBD PRP RB IN DT NN .,PRP VBD PRP RP IN DT NN .,PRP VBD PRP RP IN DT NN .,PRP VBD PRP RP IN DT NN .,PRP VBD PRP RP IN DT NN .,PRP VBD PRP RB IN DT NN .,PRP VBD PRP RP IN DT NN .
63,Probably not .,RB RB .,RB RB .,RB RB .,RB RB .,RB RB .,RB RB .,RB RB .
64,The area attracts many humpback whales between June and November and there are lots of companies organising tours to see them .,DT NN VBZ JJ NN NNS IN NNP CC NNP CC EX VBP NNS IN NNS VBG NNS TO VB PRP .,DT NN VBZ JJ NN NNS IN NNP CC NNP CC EX VBP NNS IN NNS VBG NNS TO VB PRP .,DT NN VBZ JJ JJ NNS IN NNP CC NNP CC EX VBP NNS IN NNS VBG NNS TO VB PRP .,DT NN VBZ JJ NN NNS IN NNP CC NNP CC EX VBP NNS IN NNS VBG NNS TO VB PRP .,DT NN VBZ JJ JJ NNS IN NNP CC NNP CC EX VBP NNS IN NNS VBG NNS TO VB PRP .,DT NN VBZ JJ JJ NNS IN NNP CC NNP CC EX VBP NNS IN NNS VBG NNS TO VB PRP .,DT NN VBZ JJ NN NNS IN NNP CC NNP CC EX VBP NNS IN NNS VBG NNS TO VB PRP .
65,She wrote relatively little as a result of living a brief life _ she died at 24 _ but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today .,PRP VBD RB JJ IN DT NN IN VBG DT JJ NN : PRP VBD IN CD : CC PRP$ NNS VBD DT JJ NN IN JJ NN CC PRP VBZ RB VBN IN DT JJ NN NN .,PRP VBD RB JJ IN DT NN IN VBG DT JJ NN NNP PRP VBD IN CD NN CC PRP$ NNS VBD DT JJ NN IN JJ NN CC PRP VBZ RB VBN IN DT JJ JJ NN .,PRP VBD RB JJ IN DT NN IN VBG DT JJ NN HYPH PRP VBD IN CD HYPH CC PRP$ NNS VBD DT JJ NN IN JJ NN CC PRP VBZ RB VBN IN DT JJ NN NN .,PRP VBD RB JJ IN DT NN IN VBG DT JJ NN : PRP VBD IN CD : CC PRP$ NNS VBD DT JJ NN IN JJ NN CC PRP VBZ RB VBN IN DT JJ NN NN .,"PRP VBD RB JJ IN DT NN IN VBG DT JJ NN '' PRP VBD IN CD , CC PRP$ NNS VBD DT JJ NN IN JJ NN CC PRP VBZ RB VBN IN DT JJ NN NN .",PRP VBD RB JJ IN DT NN IN VBG DT JJ NN IN PRP VBD IN CD NN CC PRP$ NNS VBD DT JJ NN IN JJ NN CC PRP VBZ RB VBN IN DT JJ JJ NN .,PRP VBD RB JJ IN DT NN IN VBG DT JJ NN : PRP VBD IN CD : CC PRP$ NNS VBD DT JJ NN IN JJ NN CC PRP VBZ RB VBN IN DT JJ NN NN .
66,Cheers .,NNS .,NNS .,NNS .,NNS .,NNS .,NNP .,NNS .
67,"At the age of eight , he was my best and only friend .","IN DT NN IN CD , PRP VBD PRP$ JJS CC JJ NN .","IN DT NN IN CD , PRP VBD PRP$ JJS CC RB NN .","IN DT NN IN CD , PRP VBD PRP$ JJS CC RB NN .","IN DT NN IN CD , PRP VBD PRP$ JJS CC JJ NN .","IN DT NN IN CD , PRP VBD PRP$ JJS CC JJ NN .","IN DT NN IN CD , PRP VBD PRP$ JJS CC RB NN .","IN DT NN IN CD , PRP VBD PRP$ JJS CC JJ NN ."
68,"As its "" comeback "" has continued , the official moniker is now the New American City as Cleveland has rightfully earned the reputation as a model of effective public - private partnership for urban planning .","IN PRP$ `` NN '' VBZ VBN , DT JJ NN VBZ RB DT NNP NNP NNP IN NNP VBZ RB VBN DT NN IN DT NN IN JJ JJ HYPH JJ NN IN JJ NN .","IN PRP$ NNP NN NN VBZ VBN , DT JJ NN VBZ RB DT NNP NNP NNP IN NNP VBZ RB VBN DT NN IN DT NN IN JJ JJ : JJ NN IN JJ NN .","IN PRP$ `` NN '' VBZ VBN , DT JJ NN VBZ RB DT JJ NNP NNP IN NNP VBZ RB VBN DT NN IN DT NN IN JJ JJ HYPH JJ NN IN JJ NN .","IN PRP$ `` NN '' VBZ VBN , DT JJ NN VBZ RB DT JJ JJ NNP IN NNP VBZ RB VBN DT NN IN DT NN IN JJ JJ HYPH JJ NN IN JJ NN .","IN PRP$ `` NN '' VBZ VBN , DT JJ NN VBZ RB DT NNP NNP NNP IN NNP VBZ RB VBN DT NN IN DT NN IN JJ JJ HYPH JJ NN IN JJ NN .","IN PRP$ '' NN '' VBZ VBN , DT JJ NN VBZ RB DT NNP NNP NNP IN NNP VBZ RB VBN DT NN IN DT NN IN JJ JJ : JJ NN IN JJ NN .","IN PRP$ `` NN '' VBZ VBN , DT JJ NN VBZ RB DT NNP NNP NNP IN NNP VBZ RB VBN DT NN IN DT NN IN JJ JJ HYPH JJ NN IN JJ NN ."
69,This is simply a protective mechanism for their false image or their fantasy land .,DT VBZ RB DT JJ NN IN PRP$ JJ NN CC PRP$ NN NN .,DT VBZ RB DT JJ NN IN PRP$ JJ NN CC PRP$ JJ NN .,DT VBZ RB DT JJ NN IN PRP$ JJ NN CC PRP$ NN NN .,DT VBZ RB DT JJ NN IN PRP$ JJ NN CC PRP$ NN NN .,DT VBZ RB DT JJ NN IN PRP$ JJ NN CC PRP$ NN NN .,DT VBZ RB DT JJ NN IN PRP$ JJ NN CC PRP$ NN NN .,DT VBZ RB DT JJ NN IN PRP$ JJ NN CC PRP$ NN NN .
70,1 Keeper,CD NN,CD NNP,CD NN,CD NNP,LS NN,CD NN,CD NN
71,And stuff .,CC NN .,CC NN .,CC NN .,CC NN .,CC NN .,CC NN .,CC NN .
72,Are there not ?,VBP EX RB .,NNP EX RB .,VBP RB RB .,VBP EX RB .,VBP EX RB .,VBP EX RB .,VBP EX RB .
73,His first role was a minor role in the 1999 film A Little Inside .,PRP$ JJ NN VBD DT JJ NN IN DT CD NN DT NNP NNP .,PRP$ JJ NN VBD DT JJ NN IN DT CD NN DT JJ NNP .,PRP$ JJ NN VBD DT JJ NN IN DT CD NN DT NNP NNP .,PRP$ JJ NN VBD DT JJ NN IN DT CD NN DT NNP RB .,PRP$ JJ NN VBD DT JJ NN IN DT CD NN DT NNP NNP .,PRP$ JJ NN VBD DT JJ NN IN DT CD NN DT NNP NNP .,PRP$ JJ NN VBD DT JJ NN IN DT CD NN DT NNP NNP .
74,"G W Taxi 1696 Bergen Blvd , tel : 1 201 363-0555 .","NNP NNP NNP CD NNP NNP , NN : CD CD CD .","NNP NNP NNP CD NNP NNP , NN : CD CD JJ .","NNP NNP NNP CD NNP NNP , NN : <UNK> <UNK> <UNK> .","NNP NNP NNP CD NNP NNP , NN : CD CD <UNK> .","NNP NNP NNP CD NNP NNP , NN : CD CD CD .","NNP NNP NNP CD NNP NNP , NN : CD CD CD .","NNP NNP NNP CD NNP NNP , NN : CD CD CD ."
75,"He was five or so , and they were playing some board game at the kitchen table .","PRP VBD CD CC RB , CC PRP VBD VBG DT NN NN IN DT NN NN .","PRP VBD CD CC RB , CC PRP VBD VBG DT NN NN IN DT NN NN .","PRP VBD CD CC RB , CC PRP VBD VBG DT NN NN IN DT NN NN .","PRP VBD CD CC RB , CC PRP VBD VBG DT NN NN IN DT NN NN .","PRP VBD CD CC RB , CC PRP VBD VBG DT NN NN IN DT NN NN .","PRP VBD CD CC RB , CC PRP VBD VBG DT NN NN IN DT NN NN .","PRP VBD CD CC RB , CC PRP VBD VBG DT NN NN IN DT NN NN ."
76,Mérida is a city of contrasts .,NNP VBZ DT NN IN NNS .,NNP VBZ DT NN IN NNS .,NNP VBZ DT NN IN NNS .,NNP VBZ DT NN IN NNS .,NNP VBZ DT NN IN NNS .,NNP VBZ DT NN IN NNS .,NNP VBZ DT NN IN NNS .
77,I got the blades .,PRP VBD DT NNS .,PRP VBD DT NNS .,PRP VBD DT NNS .,PRP VBD DT NNS .,PRP VBD DT NNS .,PRP VBD DT NNS .,PRP VBD DT NNS .
78,Introduction .,NN .,NN .,NN .,NN .,NN .,NN .,NN .
79,"Long after his death , similar structures were built in the form of the San Francisco _ Oakland Bay Bridge and the Transbay Tube , and there have been campaigns to rename the bridge "" The Emperor Norton Bridge "" .","RB IN PRP$ NN , JJ NNS VBD VBN IN DT NN IN DT NNP NNP : NNP NNP NNP CC DT NNP NNP , CC EX VBP VBN NNS TO VB DT NN `` DT NNP NNP NNP '' .","RB IN PRP$ NN , JJ NNS VBD VBN IN DT NN IN DT NNP NNP NNP NNP NNP NNP CC DT NNP NNP , CC RB VBP VBN NNS TO VB DT NN VBZ DT NNP NNP NNP NNP .","RB IN PRP$ NN , JJ NNS VBD VBN IN DT NN IN DT NNP NNP HYPH NNP NNP NNP CC DT NNP NNP , CC EX VBP VBN NNS IN VB DT NN `` DT NNP NNP NNP '' .","RB IN PRP$ NN , JJ NNS VBD VBN IN DT NN IN DT NNP NNP : NNP NNP NNP CC DT NNP NNP , CC EX VBP VBN NNS TO VB DT NN `` DT NNP NNP NNP '' .","RB IN PRP$ NN , JJ NNS VBD VBN IN DT NN IN DT NNP NNP POS NNP NNP NNP CC DT NNP NNP , CC EX VBP VBN NNS TO VB DT NN `` NNP NNP NNP NNP '' .","RB IN PRP$ NN , JJ NNS VBD VBN IN DT NN IN DT NNP NNP NN NNP NNP NNP CC DT NNP NNP , CC EX VBP VBN NNS TO VB DT NN `` DT NNP NNP NNP '' .","RB IN PRP$ NN , JJ NNS VBD VBN IN DT NN IN DT NNP NNP : NNP NNP NNP CC DT NNP NNP , CC EX VBP VBN NNS TO VB DT NN `` DT NNP NNP NNP '' ."
80,"This translates in many ways , even sometimes lowering initial offering prices at markets .","DT VBZ IN JJ NNS , RB RB VBG JJ NN NNS IN NNS .","DT VBZ IN JJ NNS , RB RB VBG JJ NN NNS IN NNS .","DT VBZ IN JJ NNS , RB RB VBG JJ NN NNS IN NNS .","DT VBZ IN JJ NNS , RB RB VBG JJ NN NNS IN NNS .","DT VBZ IN JJ NNS , RB RB VBG JJ NN NNS IN NNS .","DT NNS IN JJ NNS , RB RB VBG JJ NN NNS IN NNS .","DT VBZ IN JJ NNS , RB RB VBG JJ NN NNS IN NNS ."
81,"That year , Marbles started her career with Barstool Sports , where she wrote for their female - oriented site StoolLaLa .","DT NN , NNP VBD PRP$ NN IN NNP NNP , WRB PRP VBD IN PRP$ NN HYPH VBN NN NNP .","DT NN , NNP VBD PRP$ NN IN NNP NNP , WRB PRP VBD IN PRP$ JJ : VBN NN NNP .","DT NN , NNS VBD PRP$ NN IN NNP NNPS , WRB PRP VBD IN PRP$ JJ HYPH JJ NN NN .","DT NN , NNS VBD PRP$ NN IN NNP NNPS , WRB PRP VBD IN PRP$ JJ HYPH VBN NN NN .","DT NN , NNP VBD PRP$ NN IN NNP NNPS , WRB PRP VBD IN PRP$ NN HYPH VBN NN NNP .","DT NN , NNP VBD PRP$ NN IN NNP NNP , WRB PRP VBD IN PRP$ JJ : VBN NN NNP .","DT NN , NNP VBD PRP$ NN IN NNP NNP , WRB PRP VBD IN PRP$ JJ HYPH VBN NN NNP ."
82,Yeah .,UH .,UH .,UH .,UH .,UH .,UH .,UH .
83,THE RELATIONSHIP WITH EUROPE,DT NN IN NNP,DT NNP NNP NNP,DT NN IN NNP,DT NN IN NNP,DT NN IN NNP,DT NN IN NNS,DT NN IN NNP
84,Korea substituted Park Joo-Ho in the 28th minute of the game due to injury and was replaced by Kim Min-Woo .,NNP VBD NNP NNP IN DT JJ NN IN DT NN JJ IN NN CC VBD VBN IN NNP NNP .,NNP VBD NNP NNP IN DT CD NN IN DT NN JJ TO VB CC VBD VBN IN NNP NNP .,NNP VBD NNP <UNK> IN DT JJ NN IN DT NN IN IN NN CC VBD VBN IN NNP <UNK> .,NNP VBD NNP <UNK> IN DT JJ NN IN DT NN IN IN NN CC VBD VBN IN NNP <UNK> .,NNP VBD NNP NNP IN DT JJ NN IN DT NN IN IN NN CC VBD VBN IN NNP NNP .,NNP VBD NNP NNP IN DT JJ NN IN DT NN JJ TO NN CC VBD VBN IN NNP NNP .,NNP VBD NNP NNP IN DT JJ NN IN DT NN IN IN NN CC VBD VBN IN NNP NNP .
85,"At a polling station in Taikoo of the Hong Kong Island constituency , after the polls closed at 22:30 , with the long queues outside the station the last ballot there was cast at 2:30 the next day , four hours after the last person was allowed to join the queue .","IN DT NN NN IN NNP IN DT NNP NNP NNP NN , IN DT NNS VBD IN CD , IN DT JJ NNS IN DT NN DT JJ NN RB VBD VBN IN CD DT JJ NN , CD NNS IN DT JJ NN VBD VBN TO VB DT NN .","IN DT VBG NN IN NNP IN DT NNP NNP NNP NN , IN DT NNS VBD IN CD , IN DT JJ NNS IN DT NN DT JJ NN EX VBD NN IN CD DT JJ NN , CD NNS IN DT JJ NN VBD VBN TO VB DT NN .","IN DT NN NN IN NNP IN DT NNP NNP NNP NN , IN DT NNS VBD IN CD , IN DT JJ NNS IN DT NN DT JJ NN EX VBD VBN IN CD DT JJ NN , CD NNS IN DT JJ NN VBD VBN TO VB DT NN .","IN DT NN NN IN NNP IN DT NNP NNP NNP NN , IN DT NNS VBD IN CD , IN DT JJ NNS IN DT NN DT JJ NN EX VBD VBN IN CD DT JJ NN , CD NNS IN DT JJ NN VBD VBN TO VB DT NN .","IN DT NN NN IN NNP IN DT NNP NNP NNP NN , IN DT NNS VBD IN CD , IN DT JJ NNS IN DT NN DT JJ NN RB VBD VBN IN CD DT JJ NN , CD NNS IN DT JJ NN VBD VBN TO VB DT NN .","IN DT NN NN IN NNP IN DT NNP NNP NNP NN , IN DT NNS VBD IN CD , IN DT JJ NNS IN DT NN DT JJ NN EX VBD VBN IN CD DT JJ NN , CD NNS IN DT JJ NN VBD VBN TO VB DT NN .","IN DT NN NN IN NNP IN DT NNP NNP NNP NN , IN DT NNS VBD IN CD , IN DT JJ NNS IN DT NN DT JJ NN EX VBD VBN IN CD DT JJ NN , CD NNS IN DT JJ NN VBD VBN TO VB DT NN ."
86,"Pour the soy milk , vinegar , sugar , oil and vanilla into another bowl .","VB DT NN NN , NN , NN , NN CC NN IN DT NN .","VB DT NN NN , NN , NN , NN CC NN IN DT NN .","VB DT NN NN , NN , NN , NN CC NN IN DT NN .","VB DT NN NN , NN , NN , NN CC NN IN DT NN .","VB DT NN NN , NN , NN , NN CC NN IN DT NN .","PRP$ DT NN NN , NN , NN , NN CC NN IN DT NN .","VB DT NN NN , NN , NN , NN CC NN IN DT NN ."
87,By car,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN
88,2 teaspoons ( 10 g ) baking powder,CD NNS -LRB- CD NNS -RRB- NN NN,CD NNS ( CD NN ) NN NN,CD NNS -LRB- CD NN -RRB- VBG NN,CD NNS -LRB- CD NN -RRB- VBG NN,CD NNS SYM CD NN SYM NN NN,CD NNS -LRB- CD NN -RRB- NN NN,CD NNS -LRB- CD NNS -RRB- NN NN
89,Pressure for change is driven by the wish of women and men to choose their own fate and to improve their chances for a better life .,NN IN NN VBZ VBN IN DT NN IN NNS CC NNS TO VB PRP$ JJ NN CC TO VB PRP$ NNS IN DT JJR NN .,NN IN NN VBZ VBN IN DT NN IN NNS CC NNS TO VB PRP$ JJ NN CC TO VB PRP$ NNS IN DT JJR NN .,NN IN NN VBZ VBN IN DT NN IN NNS CC NNS TO VB PRP$ JJ NN CC TO VB PRP$ NNS IN DT JJR NN .,NN IN NN VBZ VBN IN DT NN IN NNS CC NNS TO VB PRP$ JJ NN CC TO VB PRP$ NNS IN DT JJR NN .,NN IN NN VBZ VBN IN DT NN IN NNS CC NNS TO VB PRP$ JJ NN CC TO VB PRP$ NNS IN DT JJR NN .,NN IN NN VBZ VBN IN DT NN IN NNS CC NNS TO VB PRP$ JJ NN CC TO VB PRP$ NNS IN DT JJR NN .,NN IN NN VBZ VBN IN DT NN IN NNS CC NNS TO VB PRP$ JJ NN CC TO VB PRP$ NNS IN DT JJR NN .
90,Announcing Decision To Resign the Office of President of the United States,VBG NN TO VB DT NNP IN NNP IN DT NNP NNPS,VBG NNP TO VB DT NNP IN NNP IN DT NNP NNPS,VBG NN TO VB DT NNP IN NNP IN DT NNP NNP,VBG NN TO VB DT NNP IN NNP IN DT NNP NNP,VBG NN TO VB DT NNP IN NNP IN DT NNP NNP,NNP NNP TO VB DT NNP IN NNP IN DT NNP NNPS,VBG NN TO VB DT NNP IN NNP IN DT NNP NNPS
91,This African initiative is a worthy model for other regions of the world to emulate .,DT JJ NN VBZ DT JJ NN IN JJ NNS IN DT NN TO VB .,DT JJ NN VBZ DT JJ NN IN JJ NNS IN DT NN TO VB .,DT JJ NN VBZ DT JJ NN IN JJ NNS IN DT NN TO VB .,DT JJ NN VBZ DT JJ NN IN JJ NNS IN DT NN TO VB .,DT JJ NN VBZ DT JJ NN IN JJ NNS IN DT NN TO VB .,DT JJ NN VBZ DT JJ NN IN JJ NNS IN DT NN TO VB .,DT JJ NN VBZ DT JJ NN IN JJ NNS IN DT NN TO VB .
92,"Knowing that he had already been flying straight for longer than was advisable , Chalmers altered his course to attempt to throw off any pursuers .","VBG IN PRP VBD RB VBN VBG RB IN JJR IN VBD JJ , NNP VBD PRP$ NN TO VB TO VB RP DT NNS .","VBG IN PRP VBD RB VBN VBG RB IN JJR IN VBD JJ , NNPS VBD PRP$ NN TO VB TO VB RP DT NNS .","VBG IN PRP VBD RB VBN VBG RB IN JJR IN VBD JJ , NNP VBD PRP$ NN IN NN TO VB RP DT NNS .","VBG IN PRP VBD RB VBN VBG RB IN RBR IN VBD JJ , NNP VBD PRP$ NN TO VB TO VB RP DT NNS .","VBG IN PRP VBD RB VBN VBG RB IN JJR IN VBD JJ , NNP VBD PRP$ NN TO VB TO VB RP DT NNS .","VBG IN PRP VBD RB VBN VBG RB IN JJR IN VBD JJ , NNP VBD PRP$ NN TO VB TO VB RP DT NNS .","VBG IN PRP VBD RB VBN VBG RB IN RBR IN VBD JJ , NNP VBD PRP$ NN TO VB TO VB RP DT NNS ."
93,Interview with US political activist and philosopher Noam Chomsky,NN IN NNP JJ NN CC NN NNP NNP,NN IN NNP JJ NN CC NN NNP NNP,NN IN NNP JJ NN CC NN NNP NNP,NN IN NNP JJ NN CC NN NNP NNP,NN IN NNP JJ NN CC NN NNP NNP,NNP IN PRP JJ NN CC NN NN .,NN IN NNP JJ NN CC NN NNP NNP
94,I think these three ?,PRP VBP DT CD .,PRP VBP DT CD .,PRP VBP DT CD .,PRP VBP DT CD .,PRP VBP DT CD .,PRP VBP DT CD .,PRP VBP DT CD .
95,"The Confederacy , not surprisingly , showed no mercy to African American troops .","DT NNP , RB RB , VBD DT NN IN JJ JJ NNS .","DT NNP , RB RB , VBD DT NN TO JJ JJ NNS .","DT NN , RB RB , VBD DT NN IN JJ JJ NNS .","DT NNP , RB RB , VBD DT NN IN JJ JJ NNS .","DT NNP , RB RB , VBD DT NN IN JJ JJ NNS .","DT NNP , RB RB , VBD DT NN TO NNP NNP NNS .","DT NNP , RB RB , VBD DT NN IN JJ JJ NNS ."
96,"In his career , Dvo_ák made nine invited visits to England , often conducting performances of his own works .","IN PRP$ NN , NNP VBD CD VBN NNS IN NNP , RB VBG NNS IN PRP$ JJ NNS .","IN PRP$ NN , NNP VBD CD JJ NNS TO NNP , RB VBG NNS IN PRP$ JJ NNS .","IN PRP$ NN , NNP VBD CD VBN NNS IN NNP , RB VBG NNS IN PRP$ JJ NNS .","IN PRP$ NN , NNP VBD CD VBN NNS IN NNP , RB VBG NNS IN PRP$ JJ NNS .","IN PRP$ NN , NNP VBD CD JJ NNS IN NNP , RB VBG NNS IN PRP$ JJ NNS .","IN PRP$ NN , NNP VBD CD VBN NNS TO NNP , RB VBG NNS IN PRP$ JJ NNS .","IN PRP$ NN , NNP VBD CD VBN NNS IN NNP , RB VBG NNS IN PRP$ JJ NNS ."
97,It has major airlines with direct flights to major cities in the U.S.,PRP VBZ JJ NNS IN JJ NNS IN JJ NNS IN DT NNP,PRP VBZ JJ NNS IN JJ NNS TO JJ NNS IN DT NNP,PRP VBZ JJ NNS IN JJ NNS IN JJ NNS IN DT NNP,PRP VBZ JJ NNS IN JJ NNS IN JJ NNS IN DT NNP,PRP VBZ JJ NNS IN JJ NNS IN JJ NNS IN DT <UNK>,PRP VBZ JJ NNS IN JJ NNS TO JJ NNS IN DT NNP,PRP VBZ JJ NNS IN JJ NNS IN JJ NNS IN DT <UNK>
