,sequence,pos,nltk,corenlp,opennlp,spacy,flair
287,exponential moving window,JJ JJ NN,JJ VBG NN,VB NN NN,JJ NN NN,JJ JJ NN,JJ VBG NN
288,exponential moving window groupby,JJ JJ NN NNP,JJ VBG NN NN,VB NN NN NN,JJ NN NN NN,JJ JJ NN NN,JJ VBG NN NN
289,online exponential moving window,JJ JJ JJ NN,VB JJ VBG NN,VB NN NN NN,VB JJ NN NN,VB JJ VBG NN,VB JJ VBG NN
290,ewm mean state,NNP JJ NNP,VB JJ NN,VB NN NN,VB NN NN,VB JJ NN,NNP NN NN
291,base window,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
292,base window groupby,JJ NN NNP,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN
293,window,NN,VB,NN,NN,NN,NN
294,rolling and expanding mixin,JJ CC JJ NN,VB CC VBG NN,VB CC VB NN,NN CC NN NN,NN CC VBG NNS,VBG CC JJ NN
295,rolling,JJ,VBG,VB,NN,NN,NN
296,rolling groupby,JJ NNP,VBG NN,VB NN,NN IN,NN NN,VBG NN
297,expanding,JJ,VBG,VB,VBG,VBG,VBG
298,expanding groupby,JJ NNP,VBG NN,VB NN,VBG VBN,JJ NN,VBG NN
299,test nanops data frame,VB NNPS NN NN,VB NNS NNS NN,VB JJ NNS JJ,VB NNS NNS NN,VB JJ NNS NN,VB NNS NNS NN
300,test ensure numeric,VB VB NNP,VB VB JJ,VB VB NN,VB NN JJ,VB VB JJ,VB VB NN
301,test nan var fixed values,VB NNP NN VBN NNS,VB NN NN JJ NNS,VB NN NN JJ NNS,VB NN NN JJ NNS,VB NN NN JJ NNS,VB NN NN JJ NNS
302,test nan skew fixed values,VB NNP JJ VBN NNS,VB NN NN JJ NNS,VB NN NN JJ NNS,VB NN NN JJ NNS,VB NN NN JJ NNS,VB NN NN JJ NNS
303,test nan kurt fixed values,VB NNP NNP VBN NNS,VB JJ NN JJ NNS,VB NN NN JJ NNS,VB NN NN JJ NNS,VB NN NN JJ NNS,VB NN NN VBN NNS
304,test datetime 64 na n ops,VB NNP CD NNP NN NN,VB NN CD NN NN NNS,VB NN NN NN NN NNS,VB NN NN NN NN NNS,VB VB JJ FW NN NNS,VB NN CD NN NN NNS
305,test factorize,VB VB,VB VB,VB NN,VB NN,VB VB,VB NN
306,test unique,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ
307,test i sin,NN PRP NNP,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
308,like nan,IN NNP,IN NN,IN NN,IN NN,IN NN,IN NN
309,test value counts,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
310,test duplicated,VB VBN,VB VBN,VB NN,VB JJ,VB VBN,VB VBN
311,test hash table,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
312,test rank,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
313,test mode,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
314,test diff,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
315,test take,VB VB,VB VB,VB VB,VB VB,VB NN,VB VB
316,test extension take,VB NN VB,VB NN VB,VB NN VB,VB NN NN,VB NN NN,VB NN NN
317,x,FW,NN,NN,NN,NN,NN
318,my accessor,PRP$ NN,PRP$ NN,VB NN,VB NN,MD NN,DT NN
319,bad,JJ,JJ,JJ,JJ,JJ,JJ
320,some call,DT NN,DT NN,DT NN,DT NN,DT NN,DT NN
321,test is bool indexer,NN VBZ NN NN,VB VBZ NN NN,VB VBZ NN NN,VB VBZ NN NN,VB VBZ NN NN,VB VBZ NN NN
322,my list,PRP$ NN,PRP$ NN,VB NN,NN NN,MD NN,DT NN
323,test flags,VB NNS,VB NNS,VB NN,VB NN,VB NN,VB NNS
324,test multi level,NN JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
325,test sorted,VB VBN,VB VBN,VB JJ,VB JJ,VB VBN,VB VBN
326,test expressions,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
327,my class,PRP$ NN,PRP$ NN,VB NN,VB NN,DT NN,DT NN
328,foo,NNP,VB,NN,NN,NN,NN
329,test sorting,VB NN,VB NN,VB VBG,VB NN,VB VBG,VB NN
330,test merge,VB VB,VB VB,VB VB,VB VB,VB VB,VB VB
331,test safe sort,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
332,my ea,PRP$ NNP,PRP$ NN,VB NN,VB JJ,MD NN,DT NN
333,test extension array,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
334,test masked arrays,VB VBN NNS,VB JJ NNS,VB NN NN,VB JJ NN,VB NNS NNS,VB JJ NNS
335,test 2 d compat,VB CD NN NN,VB CD NN NN,VB CD NN NN,VB CD NN NN,NN CD FW NN,NN CD NN NN
336,test sparse array,VB JJ NN,VB JJ NN,VB JJ NN,VB VB NN,VB NN NN,VB JJ NN
337,test string array,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
338,test interval array,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN
339,test arrow array,VB NN NN,VB VB NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN
340,test logical ops,VB NN NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
341,old arrow extension array,JJ NN NN NN,JJ VB NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,JJ NN NN NN
342,dummy d type,JJ NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN
343,dummy array,JJ NN,VB NN,VB NN,VB NN,VB NN,JJ NN
344,test extension array d type,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN
345,capturing string array,VBG NN NN,VBG NN NN,VB NN NN,NN NN NN,VBG NN NN,VBG NN NN
346,test numpy extension array,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB JJ NN NN,VB NNS NN NN,VB JJ NN NN
347,test datetime array,VB NN NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB JJ NN
348,test period array,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
349,test categorical,VB JJ,VB JJ,VB NN,VB JJ,VB NN,VB JJ
350,float attr d type,NN NN NN NN,VB NN NN NN,NN NN NN NN,VB NN NN NN,VB JJ NN NN,VB NN NN NN
351,float attr array,NN NN NN,VB NN NN,NN NN NN,VB NN NN,VB JJ NN,VB NNP NN
352,list d type,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
353,list array,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
354,date d type,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
355,date array,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
356,base set item tests,JJ NN NN NNS,NN NN NN NNS,NN VB NN NNS,NN VB NN NNS,NN VB NN NNS,NN VB NN NNS
357,base parsing tests,JJ VBG NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
358,base casting tests,JJ VBG NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN VBG NNS,NN NN NNS
359,base reduce tests,JJ VB NNS,NN VB NNS,NN VB NNS,NN NN NNS,NN JJ NNS,NN VB NNS
360,base printing tests,JJ VBG NNS,NN NN NNS,NN NN NNS,NN NN NNS,VB NN NNS,NN NN NNS
361,base missing tests,JJ VBG NNS,NN VBG NNS,NN VBG NNS,NN JJ NNS,NN JJ NNS,VB JJ NNS
362,base ops util,JJ NNS NN,NN NNS NN,NN NNS NN,NN NNS NN,NN NNP NN,NN NNS NN
363,base arithmetic ops tests,JJ JJ NNS NNS,NN JJ NN NNS,NN NN NNS NNS,NN NN NNS NNS,NN JJ NNS NNS,VB NN NNS NNS
364,base comparison ops tests,JJ NN NNS NNS,NN NN NN NNS,NN NN NNS NNS,NN NN NNS NNS,NN NN NNS NNS,NN NN NNS NNS
365,base unary ops tests,JJ JJ NNS NNS,NN JJ NN NNS,NN NN NNS NNS,NN JJ NNS NNS,NN JJ NNS NNS,VB JJ NNS NNS
366,base accumulate tests,JJ VB NNS,NN NN NNS,NN NN NNS,NN NN NNS,VB NN NNS,NN VB NNS
367,base d type tests,JJ NN NN NNS,NN NN NN NNS,NN NN NN NNS,NN NN NN NNS,NN NN NN NNS,NN NN NN NNS
368,base constructors tests,JJ NNS NNS,NN NNS NNS,NN NNS NNS,NN NNS NNS,NN NNS NNS,NN NNS NNS
369,base extension tests,JJ NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,VB NN NNS,NN NN NNS
370,dim 2 compat tests,NN CD NN NNS,NN CD NN NNS,VB CD NN NNS,NN CD NN NNS,NN CD JJ NNS,JJ CD NN NNS
371,nd array backed 2d tests,NNP NN VBN NNP NNS,JJ NN VBD CD NNS,VB NN NN NN NNS,VB NN JJ NN NNS,DT NN VBN NN NNS,FW NN VBN FW NNS
372,base interface tests,JJ NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
373,base get item tests,JJ VB NN NNS,VB VB NN NNS,NN VB NN NNS,NN VB NN NNS,NN VB NN NNS,NN VB NN NNS
374,base index tests,JJ NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,VB NN NNS,NN NN NNS
375,base methods tests,JJ NNS NNS,NN NNS NNS,NN NNS NNS,NN NNS NNS,NN NNS NNS,NN NNS NNS
376,extension tests,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
377,base reshaping tests,JJ VBG NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN VBG NNS,NN VBG NNS
378,base groupby tests,JJ NNP NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN JJ NNS,NN NN NNS
379,jsond type,NNP NN,NN NN,VB NN,NNP NN,JJ NN,NN NN
380,json array,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN
381,test json array,VB NNP NN,VB NNP NN,VB NNP NN,VB NNP NN,VB NNP NN,VB NNP NN
382,decimal d type,JJ NN NN,JJ NN NN,VB NN NN,NN NN NN,JJ NN NN,JJ NN NN
383,decimal array,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
384,test decimal array,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
385,decimal array without from sequence,JJ NN IN IN NN,JJ NN IN IN NN,VB NN IN IN NN,JJ NN IN IN NN,JJ NN IN IN NN,JJ NN IN IN NN
386,decimal array without coercion,JJ NN IN NN,JJ NN IN NN,VB NN IN NN,JJ NN IN NN,JJ NN IN NN,JJ NN IN NN
387,test set ops,VB NN NNS,VB VB NNS,VB VB NNS,VB VB NNS,VB VB NNS,VB VB NNS
388,test set ops unsorted,VB NN NNS JJ,VB VB NNS VBN,VB VB NNS NN,VB VB NNS VBN,VB VB NNS VBD,VB VB NNS VBN
389,test contains,VB VBZ,VB NNS,VB NNS,VB VBZ,VB VBZ,VB VBZ
390,test get loc,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NNP,VB VB NN
391,e,FW,VB,NN,VB,FW,FW
392,test get indexer,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN
393,test convert slice indexer,VB VB NN NN,VB VB NN NN,VB VB NN NN,VB VB NN NN,VB VB NN NN,VB VB NN NN
394,test put mask,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN
395,custom index,JJ NN,VB NN,JJ NN,JJ NN,JJ NN,JJ NN
396,test datetime engine,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB VB NN,VB NN NN
397,test timedelta engine,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
398,test numeric engine,VB JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN
399,test object engine,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
400,test datetime like,VB NN NNP,VB NN IN,VB NN IN,VB NN IN,VB NN IN,VB NN IN
401,test common,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ,VB NN
402,test conversion,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
403,test round trips,VB NN NNS,VB JJ NNS,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NNS
404,test indexing,VB VBG,VB NN,VB VBG,VB NN,VB VBG,VB VBG
405,test rendering,VB VBG,VB NN,VB NN,VB NN,VB NN,VB VBG
406,test reductions,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
407,test index constructor inference,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
408,test d type enforced,VB NN NN VBN,VB NN NN VBN,VB NN NN NN,VB NN NN VBN,VB NN NN NN,VB NN NN VBN
409,test index constructor unwrapping,VB NN NN VBG,VB NN NN VBG,VB NN NN NN,VB NN NN VBG,VB NN NN VBG,VB NN NN VBG
410,array like,NN IN,NN IN,NN IN,NN IN,NN IN,NN IN
411,test index construction errors,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
412,test base,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
413,test numeric base,VB JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN
414,test index,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
415,test mixed int index,VB VBN NN NN,VB JJ NN NN,VB NN NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
416,test index utils,VB NN NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NN NNS,VB NN NNS
417,test timedelta index,VB NNP NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN
418,test timedelta index difference,VB NNP NN NN,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
419,test get item,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN
420,test where,VB WRB,VB WRB,VB WRB,VB WRB,VB WRB,VB WRB
421,test maybe cast slice bound,VB RB VB NN NN,VB RB VB NN NN,VB RB VB NN NN,VB JJ NN NN NN,VB RB NN NN NN,VB RB VB NN NN
422,test vectorized timedelta,VB VBN NNP,VB VBN NN,VB NN NN,VB VBN NN,VB VBN NN,VB VBN NN
423,test freq,VB NN,VB NN,VB NN,VB JJ,VB VBN,VB NN
424,test timedelta index arithmetic,VB NNP NN JJ,VB NN NN JJ,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
425,test pickle,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
426,test timedelta index ops,VB NNP NN NNS,VB NN NN NNS,VB JJ NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
427,test timedelta index delete,VB NNP NN NN,VB NN NN VB,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
428,test timedeltas,VB NNP,VB NNS,VB NN,VB NN,VB NN,VB NNS
429,test join,VB VB,VB NN,VB NN,VB NN,VB NN,VB NN
430,test search sorted,VB NN VBN,VB NN VBN,VB NN JJ,VB NN JJ,VB NN VBN,VB NN VBN
431,test timedelta index rendering,VB NNP NN VBG,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN VBG
432,test timedelta index factorize,VB NNP NN VBB,VB NN NN VB,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
433,test timedelta index shift,VB NNP NN VB,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
434,test timedelta index insert,VB NNP NN NN,VB NN NN VB,VB JJ NN NN,VB NN NN VB,VB NN NN NN,VB NN NN NN
435,test repeat,VB NN,VB NN,VB NN,VB NN,VB NN,VB VB
436,test fill na,VB VB NNP,VB VB NN,VB VB NN,VB NN NN,VB VB FW,VB NN FW
437,test set ops sort,VB VB NNS NN,VB VB JJ NN,VB VB NNS NN,VB VB NNS NN,VB VB NN NN,VB VB NNS NN
438,test slice locs,VB NN NNS,VB NN NN,VB NN NN,VB NN NN,VB NN NNS,VB NN NNS
439,test get slice bounds,VB VB NN NNS,VB VB NN NNS,VB VB NN NNS,VB VB NN NNS,VB VB NN NNS,VB VB NN NNS
440,test astype,VB NNP,VB NN,VB NN,VB NN,VB NN,VB NN
441,test float numeric index,VB NN JJ NN,VB NN RB NN,VB NN NN NN,VB NN JJ NN,VB NN JJ NN,VB NN JJ NN
442,test numeric int,VB JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN
443,test int numeric index,VB NN JJ NN,VB NN NN NN,VB NN NN NN,VB NN JJ NN,VB NN JJ NN,VB NN JJ NN
444,test float 16 index,VB NN CD NN,VB NN CD NN,VB NN NN NN,VB NN NN NN,VB NN FW NN,VB NN CD NN
445,test join int64 index,VB VB NNP NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB VB NN NN,VB VB FW NN
446,test join uint64 index,VB VB NNP NNP,VB NN JJ NN,VB NN NN NN,VB NN NN NN,VB VB NN NN,VB NN FW NN
447,test interval index,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
448,test interval range,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
449,constructor tests,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
450,test from arrays,VB IN NNS,VB IN NNS,VB IN NN,VB IN NN,VB IN NNS,VB IN NNS
451,test from breaks,VB IN NNS,VB IN NN,VB IN NN,VB IN NN,VB IN VBN,VB IN NNS
452,test from tuples,VB IN NNS,VB IN NNS,VB IN NNS,VB IN NNS,VB IN NNS,VB IN NNS
453,test class constructors,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
454,test equals,VB NNS,VB NNS,VB NNS,VB VBZ,VB NNS,VB VBZ
455,astype tests,NNP NNS,NN NNS,VB NNS,VB NNS,NN NNS,VB NNS
456,test int subtype,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
457,test float subtype,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
458,test datetime like subtype,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN
459,test interval index rendering,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN VBG
460,test interval tree,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN
461,test categorical index constructors,VB JJ NN NNS,VB JJ NN NNS,VB JJ NN NNS,VB JJ NN NNS,VB JJ NN NNS,VB JJ NN NNS
462,test categorical index,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
463,test categorical index 2,VB JJ NN CD,VB JJ NN CD,VB JJ NN CD,VB JJ NN CD,VB JJ NN CD,VB JJ NN CD
464,test reindex,VB NN,VB NN,VB VB,VB NN,VB NN,VB NN
465,test append,VB VB,VB VB,VB VB,VB VB,VB VB,VB VB
466,test categorical index repr,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
467,equals tests,VBZ NNS,VBZ NNS,VBZ NNS,VBZ NNS,VBZ NNS,VBZ NNS
468,test period index equals,VB NN NN NNS,VB NN NN VBZ,VB NN NN VBZ,VB NN NN VBZ,VB NN NN VBZ,VB NN NN VBZ
469,test datetime index equals,VB NN NN NNS,VB NN NN VBZ,VB JJ NN VBZ,VB NN NN VBZ,VB VB NN VBZ,VB JJ NN VBZ
470,test timedelta index equals,VB NNP NN NNS,VB NN NN VBZ,VB JJ NN VBZ,VB NN NN VBZ,VB NN NN VBZ,VB NN NN VBZ
471,test sort values,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
472,drop duplicates,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
473,test drop duplicates period index,VB VB NNS NN NN,VB NN NNS NN NN,VB VB NNS NN NN,VB NN NNS NN NN,VB VB NNS NN NN,VB VB NNS NN NN
474,test drop duplicates datetime index,VB VB NNS NN NN,VB NN NNS NN NN,VB VB NNS NN NN,VB VB NNS NN NN,VB VB NNS VB NN,VB VB NNS NN NN
475,test drop duplicates timedelta index,VB VB NNS NNP NN,VB NN NNS NN NN,VB VB NNS NN NN,VB VB NNS NN NN,VB VB NNS NN NN,VB VB NNS NN NN
476,test get indexer non unique,VB VB NN RB JJ,VB VB NN RB JJ,VB VB NN RB JJ,VB VB NN RB JJ,VB VB NN RB JJ,VB VB NN RB JJ
477,test period index,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
478,test period index disallowed freqs,VB NN NN VBN NNS,VB NN NN FW NN,VB NN NN NN NN,VB NN NN VBN NNS,VB NN NN VBN NN,VB NN NN VBN NNS
479,test simple new,VB JJ JJ,VB JJ JJ,VB JJ JJ,VB JJ JJ,VB JJ JJ,VB JJ JJ
480,test shallow copy,VB JJ VB,VB JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN
481,test series period,VB NN NN,VB NN NN,VB NN NN,VB NNS NN,VB NNS NN,VB NN NN
482,test get value,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN
483,test as of locs,VB IN IN NNS,VB IN IN NN,VB IN IN NN,VB IN IN FW,VB IN IN NNS,VB IN IN NNS
484,test resolution,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
485,test period representation,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
486,test period index conversion,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
487,test period index ops,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
488,test period range keywords,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
489,test period range,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
490,test period range disallowed freqs,VB NN NN VBN NNS,VB NN NN VBN NN,VB NN NN NN NN,VB NN NN VBN NNS,VB NN NN VBN NN,VB NN NN VBN NNS
491,test search sorted,VB VB VBN,VB NN VBN,VB NN JJ,VB NN JJ,VB NN VBN,VB NN VBN
492,test period index rendering,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN VBG
493,test period index shift,VB NN NN VB,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
494,test to timestamp,VB TO NN,VB TO NN,VB TO NN,VB TO NN,VB TO NN,VB TO NN
495,test period index as type,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN
496,test insert,VB VB,VB VB,VB VB,VB VB,VB VB,VB VB
497,test datetime index set ops,VB NN NN VB NNS,VB NN NN NN NNS,VB JJ NN VB NNS,VB NN NN NN NNS,VB VB NN NN NNS,VB JJ NN NN NNS
498,test business datetime index,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
499,test custom datetime index,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
500,test datetime index,VB NN NN,VB NN NN,VB JJ NN,VB NN NN,VB VB NN,VB JJ NN
501,test time series,VB NN NN,VB NN NN,VB NN NN,VB NN NNS,VB NN NNS,VB NN NN
502,test indexer between time,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN
503,test datetime index ops,VB NN NN NN,VB NN NN NNS,VB JJ NN NNS,VB NN NN NNS,VB VB NN NNS,VB JJ NN NNS
504,test datetime index arithmetic,VB NN NN JJ,VB NN NN JJ,VB JJ NN NN,VB NN NN NN,VB VB NN NN,VB JJ NN NN
505,test datetime index reindex,VB NN NN VB,VB NN NN NN,VB JJ NN VB,VB NN NN NN,VB VB NN NN,VB JJ NN NN
506,fixed offset,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
507,test datetime index timezones,VB NN NN NNS,VB NN NN NNS,VB JJ NN NNS,VB NN NN NNS,VB VB NN NNS,VB NN NN NNS
508,test datetime index iteration,VB NN NN NN,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB VB NN NN,VB JJ NN NN
509,test timestamp equiv date range,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN JJ NN NN,VB NN NN NN NN,VB NN NN NN NN
510,test date ranges,NN NN NNS,VB NN NNS,VB NN NN,VB NN NN,VB NN NNS,VB NN NNS
511,test date range tz,NN NN NN NNP,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN FW,VB NN NN FW
512,test gen range generation,VB VB NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
513,test business date range,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
514,test custom date range,VB JJ NN NN,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB JJ NN NN,VB JJ NN NN
515,test date range non na no,VB NN NN RB NNP NNP,VB NN NN RB JJ DT,VB NN NN RB JJ DT,VB NN NN RB JJ DT,VB NN NN RB VBN DT,VB NN NN RB NN DT
516,test date range non tick freq,VB NN NN RB NN NN,VB NN NN RB JJ NN,VB NN NN RB JJ NN,VB NN NN RB NN JJ,VB NN NN RB JJ VBN,VB NN NN RB NN NN
517,test split,VB NN,VB VB,VB VB,VB VB,VB VB,VB VB
518,test slicing,VB NN,VB NN,VB NN,VB NN,VB VBG,VB VBG
519,test datetime index rendering,VB NN NN NN,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB VB NN NN,VB NN NN VBG
520,test to period,VB TO NN,VB TO NN,VB TO NN,VB TO NN,VB TO NN,VB TO NN
521,test datetime index factorize,VB NN NN VB,VB NN NN VB,VB JJ NN NN,VB NN NN NN,VB VB NN NN,VB JJ NN NN
522,test datetime index shift,VB NN NN VB,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB VB NN NN,VB JJ NN NN
523,test tz localize,VB NNP VB,VB NN NN,VB NN NN,VB NN NN,VB FW NN,VB FW VB
524,test to series,VB IN NNP,VB TO NN,VB TO NN,VB TO NNS,VB TO NNS,VB TO NN
525,test as of,VB IN IN,VB IN IN,VB IN IN,VB IN IN,VB IN IN,VB IN IN
526,test delete,VB VB,VB NN,VB NN,VB VB,VB VB,VB VB
527,test date time index to julian date,VB NN NN NN TO NNP NN,VB NN NN NN TO NN NN,VB NN NN NN TO NN NN,VB NN NN NN TO NN NN,VB NN NN NN TO NN NN,VB NN NN NN TO NN NN
528,test to py datetime,VB TO NNP NN,VB TO NN NN,VB TO FW NN,VB TO NN NN,VB TO FW VB,VB TO FW NN
529,test normalize,VB VB,VB NN,VB VB,VB VB,VB NN,VB VB
530,test datetime index round,VB NN NN NN,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB VB NN JJ,VB JJ NN NN
531,test to frame,VB NN NN,VB TO NN,VB TO JJ,VB TO NN,VB TO NN,VB TO NN
532,test datetime index fill na,VB NN NN VB TO,VB NN NN VB NN,VB JJ NN VB NN,VB NN NN NN NN,VB VB NN NN FW,VB JJ NN NN FW
533,test tz convert,VB NNP VB,VB NN VB,VB JJ VB,VB NN NN,VB VBN VB,VB FW VB
